State,ZipCode,TaxRegionName,TaxRegionCode,CombinedRate,StateRate,CountyRate,CityRate,SpecialRate
PR,00601,ADJUNTAS CO,CUGY,0.115000,0.105000,0.010000,0,0
PR,00602,AGUADA CO,CUHC,0.115000,0.105000,0.010000,0,0
PR,00603,AGUADILLA CO,CUHM,0.115000,0.105000,0.010000,0,0
PR,00604,AGUADILLA CO,CUHM,0.115000,0.105000,0.010000,0,0
PR,00605,AGUADILLA CO,CUHM,0.115000,0.105000,0.010000,0,0
PR,00606,MARICAO CO,CVWS,0.115000,0.105000,0.010000,0,0
PR,00610,ANASCO CO,CUJO,0.115000,0.105000,0.010000,0,0
PR,00611,UTUADO CO,CXBF,0.115000,0.105000,0.010000,0,0
PR,00612,ARECIBO CO,CUJZ,0.115000,0.105000,0.010000,0,0
PR,00613,ARECIBO CO,CUJZ,0.115000,0.105000,0.010000,0,0
PR,00614,ARECIBO CO,CUJZ,0.115000,0.105000,0.010000,0,0
PR,00616,ARECIBO CO,CUJZ,0.115000,0.105000,0.010000,0,0
PR,00617,BARCELONETA CO,CUMU,0.115000,0.105000,0.010000,0,0
PR,00622,CABO ROJO CO,CUTJ,0.115000,0.105000,0.010000,0,0
PR,00623,CABO ROJO CO,CUTJ,0.115000,0.105000,0.010000,0,0
PR,00624,PENUELAS CO,CWCC,0.115000,0.105000,0.010000,0,0
PR,00627,CAMUY CO,CUYL,0.115000,0.105000,0.010000,0,0
PR,00631,PUERTO RICO,CXFO,0.105000,0.105000,0,0,0
PR,00636,MAYAGUEZ CO,CVXB,0.115000,0.105000,0.010000,0,0
PR,00637,SABANA GRANDE CO,CWJR,0.115000,0.105000,0.010000,0,0
PR,00638,CIALES CO,CVDK,0.115000,0.105000,0.010000,0,0
PR,00641,UTUADO CO,CXBF,0.115000,0.105000,0.010000,0,0
PR,00646,DORADO CO,CVFL,0.115000,0.105000,0.010000,0,0
PR,00647,GUANICA CO,CVHW,0.115000,0.105000,0.010000,0,0
PR,00650,FLORIDA CO,CVHS,0.115000,0.105000,0.010000,0,0
PR,00652,ARECIBO CO,CUJZ,0.115000,0.105000,0.010000,0,0
PR,00653,GUANICA CO,CVHW,0.115000,0.105000,0.010000,0,0
PR,00656,GUAYANILLA CO,CVJN,0.115000,0.105000,0.010000,0,0
PR,00659,HATILLO CO,CVPP,0.115000,0.105000,0.010000,0,0
PR,00660,HORMIGUEROS CO,CVQC,0.115000,0.105000,0.010000,0,0
PR,00662,ISABELA CO,CVRT,0.115000,0.105000,0.010000,0,0
PR,00664,JAYUYA CO,CVSN,0.115000,0.105000,0.010000,0,0
PR,00667,LAJAS CO,CVUA,0.115000,0.105000,0.010000,0,0
PR,00669,LARES CO,CVUJ,0.115000,0.105000,0.010000,0,0
PR,00670,LAS MARIAS CO,ELYX,0.115000,0.105000,0.010000,0,0
PR,00674,MANATI CO,CVVO,0.115000,0.105000,0.010000,0,0
PR,00676,MOCA CO,CWAC,0.115000,0.105000,0.010000,0,0
PR,00677,RINCON CO,CWIS,0.115000,0.105000,0.010000,0,0
PR,00678,QUEBRADILLAS CO,CWIA,0.115000,0.105000,0.010000,0,0
PR,00680,MAYAGUEZ CO,CVXB,0.115000,0.105000,0.010000,0,0
PR,00681,MAYAGUEZ CO,CVXB,0.115000,0.105000,0.010000,0,0
PR,00682,MAYAGUEZ CO,CVXB,0.115000,0.105000,0.010000,0,0
PR,00683,SAN GERMAN CO,CWKL,0.115000,0.105000,0.010000,0,0
PR,00685,SAN SEBASTIAN CO,CWWH,0.115000,0.105000,0.010000,0,0
PR,00687,MOROVIS CO,CWAP,0.115000,0.105000,0.010000,0,0
PR,00688,ARECIBO CO,CUJZ,0.115000,0.105000,0.010000,0,0
PR,00690,AGUADILLA CO,CUHM,0.115000,0.105000,0.010000,0,0
PR,00692,VEGA ALTA CO,CXBR,0.115000,0.105000,0.010000,0,0
PR,00693,VEGA BAJA CO,ENPH,0.115000,0.105000,0.010000,0,0
PR,00694,VEGA BAJA CO,ENPH,0.115000,0.105000,0.010000,0,0
PR,00698,YAUCO CO,CXEM,0.115000,0.105000,0.010000,0,0
PR,00703,AGUAS BUENAS CO,CUIW,0.115000,0.105000,0.010000,0,0
PR,00704,SALINAS CO,CWKB,0.115000,0.105000,0.010000,0,0
PR,00705,AIBONITO CO,CUJC,0.115000,0.105000,0.010000,0,0
PR,00707,MAUNABO CO,CVWV,0.115000,0.105000,0.010000,0,0
PR,00714,ARROYO CO,CUMG,0.115000,0.105000,0.010000,0,0
PR,00715,PONCE CO,CWCW,0.115000,0.105000,0.010000,0,0
PR,00716,PONCE CO,CWCW,0.115000,0.105000,0.010000,0,0
PR,00717,PONCE CO,CWCW,0.115000,0.105000,0.010000,0,0
PR,00718,NAGUABO CO,CWAZ,0.115000,0.105000,0.010000,0,0
PR,00719,NARANJITO CO,CWBK,0.115000,0.105000,0.010000,0,0
PR,00720,OROCOVIS CO,CWBM,0.115000,0.105000,0.010000,0,0
PR,00721,SAN JUAN CO,CWLF,0.115000,0.105000,0.010000,0,0
PR,00723,PATILLAS CO,CWBQ,0.115000,0.105000,0.010000,0,0
PR,00725,CAGUAS CO,CUUK,0.115000,0.105000,0.010000,0,0
PR,00726,CAGUAS CO,CUUK,0.115000,0.105000,0.010000,0,0
PR,00727,CAGUAS CO,CUUK,0.115000,0.105000,0.010000,0,0
PR,00728,PONCE CO,CWCW,0.115000,0.105000,0.010000,0,0
PR,00729,CANOVANAS CO,CUYU,0.115000,0.105000,0.010000,0,0
PR,00730,PONCE CO,CWCW,0.115000,0.105000,0.010000,0,0
PR,00731,PUERTO RICO,CXFO,0.105000,0.105000,0,0,0
PR,00732,PONCE CO,CWCW,0.115000,0.105000,0.010000,0,0
PR,00733,VILLALBA CO,CXDT,0.115000,0.105000,0.010000,0,0
PR,00735,CEIBA CO,CVCV,0.115000,0.105000,0.010000,0,0
PR,00736,CAYEY CO,CVBY,0.115000,0.105000,0.010000,0,0
PR,00737,CAYEY CO,CVBY,0.115000,0.105000,0.010000,0,0
PR,00738,FAJARDO CO,CVGC,0.115000,0.105000,0.010000,0,0
PR,00739,CIDRA CO,CVDO,0.115000,0.105000,0.010000,0,0
PR,00740,FAJARDO CO,CVGC,0.115000,0.105000,0.010000,0,0
PR,00741,HUMACAO CO,CVQJ,0.115000,0.105000,0.010000,0,0
PR,00742,PUERTO RICO,CXFO,0.105000,0.105000,0,0,0
PR,00744,NAGUABO CO,CWAZ,0.115000,0.105000,0.010000,0,0
PR,00745,RIO GRANDE CO,CWIX,0.115000,0.105000,0.010000,0,0
PR,00751,SALINAS CO,CWKB,0.115000,0.105000,0.010000,0,0
PR,00754,SAN LORENZO CO,CWVR,0.115000,0.105000,0.010000,0,0
PR,00757,SANTA ISABEL CO,CWXC,0.115000,0.105000,0.010000,0,0
